idx,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
44,0.0,1500,11.687000274658203,0.0,0.0,1500,0.0,0.0,0.0,0.339745432138443,-0.04785146936774254,9.409991264343262,-0.0002664400089997798,0.0,0.0
45,0.0,1500,11.675000190734863,0.0,0.0,1500,0.0,0.0,0.0,0.3517082929611206,-0.043066322803497314,9.465021133422852,-0.0010657600359991193,0.0005328800179995596,-0.0002664400089997798
46,0.0,1500,11.675000190734863,0.0,0.0,1500,0.0,0.0,0.0,0.3206048607826233,-0.07177720218896866,9.426739692687988,-0.0002664400089997798,-0.0002664400089997798,0.0002664400089997798
47,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3373528718948364,-0.07177720218896866,9.340606689453125,-0.0010657600359991193,0.0005328800179995596,0.0002664400089997798
48,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.35410088300704956,-0.04067374765872955,9.393243789672852,-0.0007993200561031699,0.0002664400089997798,0.0005328800179995596
49,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3445305824279785,-0.06220691278576851,9.359747886657715,-0.0013322000158950686,0.0,0.0002664400089997798
50,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3899894952774048,-0.0813474953174591,9.445879936218262,-0.0018650800921022892,-0.0005328800179995596,-0.0002664400089997798
51,0.0,1500,11.675000190734863,0.0,0.0,1500,0.0,0.0,0.0,0.3756340444087982,-0.011962867341935635,9.436309814453125,-0.0007993200561031699,0.0,0.0005328800179995596
52,0.0,1500,11.675000190734863,0.0,0.0,1500,0.0,0.0,0.0,0.3445305824279785,-0.08374007046222687,9.366925239562988,-0.0013322000158950686,-0.0002664400089997798,0.0002664400089997798
53,0.0,1500,11.675000190734863,0.0,0.0,1500,0.0,0.0,0.0,0.3253899812698364,-0.07177720218896866,9.378888130187988,-0.0005328800179995596,-0.0002664400089997798,-0.0002664400089997798
54,0.0,1500,11.675000190734863,0.0,0.0,1500,0.0,0.0,0.0,0.34213802218437195,-0.05981433764100075,9.419562339782715,0.0,-0.0002664400089997798,-0.0010657600359991193
55,0.0,1500,11.664999961853027,0.0,0.0,1500,0.0,0.0,0.0,0.31103456020355225,-0.08852522075176239,9.359747886657715,-0.0010657600359991193,0.0002664400089997798,-0.0002664400089997798
56,0.0,1500,11.664999961853027,0.0,0.0,1500,0.0,0.0,0.0,0.3588860332965851,-0.011962867341935635,9.496124267578125,0.0002664400089997798,0.0007993200561031699,0.0007993200561031699
57,0.0,1500,11.690999984741211,0.0,0.0,1500,0.0,0.0,0.0,0.32299742102622986,-0.04785146936774254,9.424346923828125,-0.0005328800179995596,-0.0005328800179995596,0.0005328800179995596
