Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z
1.954653076,1394,11.54699993,1.821859956,2.083271265,1394,0.160999998,0,0.114,0.256005377,0.193798453,9.156378746,0.014920641,-0.00506236,0.100714326
1.954653076,1394,11.54699993,1.821859956,2.083271265,1394,0.165000007,0,0.097999997,0.349315733,-0.184228167,9.788018227,0.022913842,-0.028775521,0.092454687
1.954653076,1394,11.56000042,1.822305679,2.084011316,1394,0.153999999,0,0.024,0.289501399,-0.251220226,9.732989311,0.012522681,-0.024778921,0.111638367
1.954653076,1394,11.56000042,1.822305679,2.084011316,1394,0.143000007,0,-0.111000001,0.009570294,-0.205761328,9.936357498,-0.00319728,-0.01092404,0.102046527
1.954653076,1394,11.5539999,1.821359754,2.082929373,1394,0.157000005,0,0.171000004,0.081347495,-0.287108809,9.792803764,-0.011190481,0.022114521,0.123361722
1.954653076,1394,11.5539999,1.821359754,2.082929373,1394,0.158000007,0,0.125,0.088525221,-0.043066323,9.819121361,-0.01545352,0.014654201,0.101247206
1.954653076,1394,11.55900002,1.822147846,2.083830833,1394,0.157000005,0,0.118000001,0.354100883,0.332567722,9.534405708,0.00452948,-0.014920641,0.092188247
1.954653076,1394,11.55900002,1.822147846,2.083830833,1394,0.137999997,0,-0.162,0.497655302,0.102880664,8.835773468,-0.009058961,0.0053288,0.097250603
1.954653076,1394,11.56000042,1.822305679,2.084011316,1394,0.158999994,0,0.137999997,0.523973584,-0.052636616,9.06306839,-0.01092404,0.015187081,0.096717723
1.954653076,1394,11.56000042,1.822305679,2.084011316,1394,0.162,0,0.081,-0.014355441,-0.129198968,9.072638512,-0.02104876,0.026910441,0.096184842
1.954653076,1394,11.56599998,1.821645021,2.083486319,1394,0.158000007,0,0.068000004,0.397167206,0.30864197,8.900373459,-0.027976202,0.02371316,0.099648565
1.954653076,1394,11.56599998,1.821645021,2.083486319,1394,0.143999994,0,-0.177000001,0.08374007,-0.105273232,9.36692524,0.00026644,0.020249441,0.096184842
1.954653076,1394,11.56000042,1.820700049,2.082405567,1394,0.166999996,0,0.128999993,0.246435076,0.368456334,9.40520668,0.035702962,0.00053288,0.109506845
1.954653076,1394,11.56000042,1.820700049,2.082405567,1394,0.167999998,0,0.143999994,0.275145948,-0.830223024,9.747344017,0.0053288,-0.01225624,0.09298756
1.954653076,1394,11.55799961,1.821990132,2.083650351,1394,0.150000006,0,-0.092,-0.045458898,-0.212939039,9.510479927,-0.011456921,0.0026644,0.100980766
1.954653076,1394,11.55799961,1.821990132,2.083650351,1394,0.165000007,0,0.090000004,0.174657866,-0.011962867,9.022395134,0.0093254,-0.00772676,0.089790285
1.954653076,1394,11.56900024,1.820510745,2.082419872,1394,0.165999994,0,0.107000001,0.205761328,-0.392382056,9.139630318,0.01225624,-0.00852608,0.098582804
1.954653076,1394,11.56900024,1.820510745,2.082419872,1394,0.159999996,0,0.115999997,0.521580994,-0.712986887,9.235333443,-0.01305556,-0.00106576,0.087125883
1.954653076,1394,11.55900002,1.822147846,2.083830833,1394,0.136000007,0,-0.169,0.378026605,0.322997421,9.924394608,-0.018117921,-0.024246041,0.104444481
1.954653076,1394,11.55900002,1.822147846,2.083830833,1394,0.152999997,0,0.150999993,0.423485518,-0.110058382,9.529620171,0.031173481,0.0306406,0.104977362
1.954653076,1394,11.55799961,1.821990132,2.083650351,1394,0.157000005,0,0.142000005,-0.074169777,-0.289501399,9.309503555,0.00106576,0.01838436,0.097250603
1.954653076,1394,11.55799961,1.821990132,2.083650351,1394,0.157000005,0,0.128999993,0.232079625,0.327782571,9.342999458,0.024778921,0.0039966,0.090323165
1.954653076,1394,11.55500031,1.821517467,2.083109856,1394,0.136000007,0,-0.150999993,-0.011962867,-0.260790497,9.295147896,-0.00452948,-0.00586168,0.104444481
1.954653076,1394,11.55500031,1.821517467,2.083109856,1394,0.159999996,0,0.101000004,0.148339555,-0.222509339,9.242511749,-0.01625284,-0.01412132,0.092454687
