Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z,,Lin_X,0.035999999
2.877170205,1500,12.13899994,0,0,1500,0,0,0,0.131591544,-0.050244045,9.441095352,-0.00026644,0,0.00106576,,,
2.877170205,1500,12.15200043,2.875973225,2.875973225,1500,0.088,0,-0.050000001,2.392573595,0.492870152,8.412288666,0.0013322,-0.014654201,0.00852608,,,
2.877170205,1500,12.15200043,2.875973225,2.875973225,1500,0.147,0,0.07,1.832711339,0.77519381,8.237630844,0.0612812,0.039699562,-0.00079932,,,
2.877170205,1500,12.19699955,2.876459122,2.876459122,1500,0.180999994,0,-0.082999997,1.205857038,1.033591747,9.878935814,0.079665564,-0.034903642,0.045028362,,,
2.877170205,1500,12.19699955,2.876459122,2.876459122,1500,0.224000007,0,0.07,0.112450957,-0.392382056,9.369318008,-0.00586168,-0.01438776,0.039166681,,,
2.877170205,1500,12.17500019,2.876343966,2.876343966,1500,0.228,0,-0.169,0.454588979,-0.193798453,8.04144001,-0.029041961,0.01918368,0.047426321,,,
2.877170205,1500,12.17500019,2.876343966,2.876343966,1500,0.219999999,0,-0.289000005,-0.196191028,0.421092927,10.18518543,0.01412132,-0.024778921,0.05168936,,,
2.877170205,1500,12.15400028,2.876446724,2.876446724,1500,0.230000004,0,-0.172999993,0.447411239,-0.203368753,10.23782158,-0.019716561,-0.00719388,0.057551041,,,
2.877170205,1500,12.15400028,2.876446724,2.876446724,1500,0.25,0,0.029999999,0.710594356,-0.212939039,10.35027313,-0.01545352,-0.038900241,0.058083922,,,
2.877170205,1500,12.14599991,2.876240253,2.876240253,1500,0.254000008,0,0.071999997,0.196191028,0.535936475,10.11580086,0.00186508,-0.01678572,0.059949003,,,
2.877170205,1500,12.14599991,2.876240253,2.876240253,1500,0.257999986,0,0.064999998,0.368456334,-0.361278594,9.608574867,-0.038367361,-0.068208642,0.034104321,,,
2.877170205,1500,12.14599991,2.876240253,2.876240253,1500,0.257999986,0,0.081,0.423485518,-0.22729449,10.2665329,-0.039966002,-0.0306406,0.024512481,,,
2.877170205,1500,12.14599991,2.876240253,2.876240253,1500,0.261999995,0,0.006,0.248827651,0.016748015,9.443487167,-0.041298203,0.029308401,0.029041961,,,
2.877170205,1500,12.16100025,2.876414299,2.876414299,1500,0.257999986,0,0.026000001,0.208153889,-0.555077076,9.776055336,-0.00319728,0.008792521,0.024778921,,,
2.877170205,1500,12.16100025,2.876414299,2.876414299,1500,0.250999987,0,-0.07,0.105273232,-0.086132646,8.821418762,0.038900241,0.041298203,0.024512481,,,
2.877170205,1500,12.15200043,2.875973225,2.875973225,1500,0.245000005,0,-0.177000001,-0.184228167,0.124413826,8.668293953,0,0.049291402,0.024512481,,,
