Reference,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z
0.386855492,4.061643526,1500,12.60000038,4.135250092,4.135250092,1500,0.396809289,0,-0.211999997,-0.172265291,0.650779963,9.441095352,0.029574841,0.049824283,0.01039116
0.386855492,4.05767456,1500,12.60000038,4.098500252,4.098500252,1500,0.392245102,0,-0.264999986,-0.531151295,-0.014355441,11.29533958,-0.039966002,-0.009058961,0.022913842
0.386855492,4.055000452,1500,12.60000038,4.073999882,4.073999882,1500,0.389544823,0,-0.035,0.021533161,-0.279931098,9.027179718,-0.010124721,-0.036502283,0.043962602
0.386855492,4.051695124,1500,12.60000038,4.059999943,4.059999943,1500,0.388532633,0,0.096000001,0.46415925,-0.066992059,9.098957062,-0.021848081,0.02824264,0.057551041
0.386855492,4.051494733,1500,12.60000038,4.056499958,4.056499958,1500,0.387629044,0,0.096000001,1.330270886,-0.177050442,8.816633224,0.00985828,-0.038633801,0.01039116
0.386855492,4.054531809,1500,12.60000038,4.054749966,4.054749966,1500,0.386494935,0,0.008,0.724949777,-1.315915465,8.086898804,-0.04236396,0.053288002,0.033571441
0.386855492,4.075149812,1500,12.60000038,4.049499989,4.049499989,1500,0.382224689,0,-0.351000011,-0.909177959,0.835008144,10.16604519,-0.00319728,0.008792521,0.024246041
0.386855492,4.103558368,1500,12.60000038,4.049499989,4.049499989,1500,0.377812529,0,-0.324000001,0.937888801,-1.349411488,8.211312294,-0.022647401,0.01225624,0.00106576
0.386855492,4.140962369,1500,12.60000038,4.05300045,4.05300045,1500,0.373563099,0,-0.333000004,-0.849363565,0.839793324,9.613360405,0.049557842,0.00639456,0.035436522
0.386855492,4.183512648,1500,12.60000038,4.073999882,4.073999882,1500,0.370260725,0,-0.261000007,0.399559766,1.483395576,10.82639503,0.081264205,-0.068208642,0.024512481
0.386855492,4.213920516,1500,12.60000038,4.102000237,4.102000237,1500,0.371144764,0,0,-0.198583603,1.260886192,9.206623077,0.02824264,0.0306406,0.01039116
0.386855492,4.238098365,1500,12.60000038,4.138750076,4.138750076,1500,0.373595678,0,0.071999997,0.31581971,0.504832983,8.003158569,-0.01918368,0.04715988,0.027176881
0.386855492,4.257653659,1500,12.60000038,4.182499886,4.182499886,1500,0.376116069,0,0.059,0.246435076,0.425878078,9.594220161,-0.04209752,-0.025045361,0.018117921
0.386855492,4.27045992,1500,12.60000038,4.212250233,4.212250233,1500,0.378872615,0,0.057,0.844578445,1.019236326,9.118097305,0.015187081,-0.020249441,0.031173481
0.386855492,4.286532357,1500,12.60000038,4.236750126,4.236750126,1500,0.379719051,0,-0.130999997,-0.289501399,-0.849363565,9.80715847,0.006661,-0.063146286,0.055419523
0.386855492,4.303066218,1500,12.60000038,4.256000042,4.256000042,1500,0.379761028,0,-0.180000007,0.186620727,-0.08374007,10.27610302,-0.01625284,-0.021848081,0.012789121
0.386855492,4.320172869,1500,12.60000038,4.269999981,4.269999981,1500,0.379531408,0,-0.25,0.363671184,-1.674801469,8.589339256,0.035436522,-0.008792521,0.054353762
0.386855492,4.337901962,1500,12.60000038,4.285749912,4.285749912,1500,0.379233741,0,-0.256000012,-0.174657866,1.859029651,10.02009773,-0.03676872,0.046627,0.03277212
0.386855492,4.355997015,1500,12.60000038,4.30150032,4.30150032,1500,0.378992081,0,-0.282999992,0.942673981,-1.119724393,8.003158569,-0.03090704,0.0746032,0.026644001
0.386855492,4.366207984,1500,12.60000038,4.319000244,4.319000244,1500,0.380494039,0,-0.181999996,0.031103456,1.794430137,9.567901611,0.114835642,-0.071405925,0.040498883
0.386855492,4.367549311,1500,12.60000038,4.336500168,4.336500168,1500,0.383415911,0,-0.004,-0.356493443,-0.296679109,11.19006634,0.0159864,0.013854881,0.00692744
