Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
1.955168835,1500,11.57600021,1.953449965,1.953449965,1500,0.143000007,0,-0.282999992,0.442626089,0.251220226,9.529620171,0.00106576,-0.02344672,0.025578242
1.955168835,1500,11.56999969,1.954044342,1.954044342,1500,0.165000007,0,0.004,0.040673748,-0.523973584,9.36692524,0.038100921,0.013322,0.026910441
1.955168835,1500,11.56999969,1.954044342,1.954044342,1500,0.165000007,0,0.043000001,0.483299851,-0.629246831,9.732989311,0.00079932,-0.00239796,0.019983001
1.955168835,1500,11.56999969,1.954044342,1.954044342,1500,0.162,0,0.059,-0.236864775,0.011962867,9.273614883,0.0079932,0.00746032,0.00852608
1.955168835,1500,11.56999969,1.954044342,1.954044342,1500,0.144999996,0,-0.199000001,-0.062206913,-0.378026605,9.515264511,0.00159864,0.00692744,0.01225624
1.955168835,1500,11.5720005,1.9543823,1.9543823,1500,0.156000003,0,-0.052000001,0.779978991,0.157909855,9.431524277,-0.00586168,-0.00586168,0.01651928
1.955168835,1500,11.5720005,1.9543823,1.9543823,1500,0.166999996,0,0.026000001,0.322997421,-0.064599484,9.500909805,0.00239796,-0.00479592,0.012789121
1.907163104,1500,11.56499958,1.954806209,1.954806209,1500,0.165000007,0,0.018999999,0.492870152,0.124413826,8.89798069,0.01412132,0.03223924,0.01625284
1.907163104,1500,11.56499958,1.954806209,1.954806209,1500,0.156000003,0,-0.024,0.46176669,-0.579002798,8.95061779,0.0039966,0.01625284,0.010124721
1.907163104,1500,11.57600021,1.953449965,1.953449965,1500,0.145999998,0,-0.233999997,0.30624941,-0.605321109,9.307110786,0.0079932,0.00373016,0.00559524
1.907163104,1500,11.57600021,1.906824589,1.906824589,1500,0.165999994,0,0.039000001,0.22968705,-0.325389981,9.802373886,-0.00639456,0.00373016,0.00053288
1.907163104,1500,11.57800007,1.905545831,1.905545831,1500,0.160999998,0,-0.017000001,-0.050244045,-0.186620727,9.84783268,-0.013322,-0.00106576,0.0053288
1.907163104,1500,11.57800007,1.905545831,1.905545831,1500,0.158000007,0,0.050000001,0.550291896,-0.4593741,9.18748188,-0.00106576,-0.013588441,0.01225624
1.907163104,1500,11.57299995,1.906330347,1.906330347,1500,0.145999998,0,-0.097999997,0.078954928,-0.318212271,9.350176811,-0.00159864,0.01412132,0.014654201
1.907163104,1500,11.57299995,1.906330347,1.906330347,1500,0.137999997,0,-0.216999993,-0.435448378,-0.184228167,9.902861595,0.00825964,-0.0013322,0.01651928
1.907163104,1500,11.56700039,1.905342102,1.905342102,1500,0.155000001,0,-0.004,-0.110058382,0.100488089,9.883721352,-0.00159864,0.011190481,0.029841281
1.907163104,1500,11.56700039,1.905342102,1.905342102,1500,0.158000007,0,0.026000001,-0.172265291,0.08374007,9.735381126,-0.00053288,-0.00772676,0.00426304
1.907163104,1500,11.58300018,1.906368852,1.906368852,1500,0.153999999,0,-0.004,0.22968705,-0.318212271,9.933964729,-0.00559524,-0.022647401,0.022913842
1.907163104,1500,11.58300018,1.906368852,1.906368852,1500,0.155000001,0,0.021,0.287108809,-0.447411239,9.005646706,-0.013322,-0.01412132,0.00319728
1.907163104,1500,11.56499958,1.906618595,1.906618595,1500,0.150000006,0,-0.01,0.258397937,0.002392574,9.639678955,-0.00612812,-0.013588441,0.027176881
1.907163104,1500,11.56499958,1.906618595,1.906618595,1500,0.133000001,0,-0.233999997,0.284716249,0.222509339,9.974638939,0.011190481,-0.00559524,0.02158164
1.907163104,1500,11.56999969,1.905836105,1.905836105,1500,0.152999997,0,-0.008,0.093310364,0.174657866,9.323859215,-0.00586168,0.00159864,0.029041961
1.907163104,1500,11.56999969,1.905836105,1.905836105,1500,0.157000005,0,0.018999999,0.428270668,0.011962867,9.828691483,-0.02611112,-0.009058961,0.01039116
1.907163104,1788,11.5720005,1.9061656,1.9061656,1500,0.157000005,0,0.013,0.133984119,0.090917796,8.752034187,-0.028775521,0.012789121,0.020249441
1.907163104,1788,11.5720005,1.9061656,1.9061656,1500,0.162,0,-0.008,0.473729551,-0.220116764,8.991291046,0.00239796,-0.006661,0.01891724
1.907163104,1788,11.56799984,1.905506611,1.905506611,1500,0.149000004,0,-0.114,0.387596905,0.373241454,9.510479927,0.027976202,-0.015187081,0.024246041
1.907163104,1788,11.56799984,2.128833294,1.680573344,1788,0.145999998,0,-0.208000004,0.478514701,0.526366174,9.204230309,0.00825964,-0.01039116,0.0119898
1.907163104,1788,11.55599976,2.12983489,1.682039976,1788,0.159999996,0,-0.064999998,-0.090917796,-0.011962867,9.799981117,-0.010124721,0.018117921,0.00479592
1.907163104,1788,11.55599976,2.12983489,1.682039976,1788,0.165999994,0,-0.093999997,0.093310364,-0.337352872,9.759306908,-0.00053288,-0.00506236,-0.118299365
1.907163104,1788,11.57800007,2.129065514,1.680418015,1788,0.158999994,0,-0.171000004,0.363671184,-0.363671184,9.931572914,-0.00373016,0.00452948,-0.174518213
1.907163104,1788,11.57800007,2.129065514,1.680418015,1788,0.158000007,0,-0.237000003,0.442626089,0.344530582,9.409991264,-0.0159864,-0.0013322,-0.229404852
1.907163104,1788,11.56900024,2.129017353,1.680718541,1788,0.158000007,0,-0.225999996,0.61489141,-0.7680161,9.409991264,-0.017052161,-0.01172336,-0.225674689
1.907163104,1788,11.56900024,2.129017353,1.680718541,1788,0.152999997,0,-0.218999997,0.148339555,0,8.797492981,0.00479592,0.022114521,-0.211553365
1.907163104,1788,11.56999969,2.129201412,1.680863857,1788,0.151999995,0,-0.181999996,0.03349603,0.382811755,9.340606689,0.00852608,0.024512481,-0.223543167
1.907163104,1788,11.56999969,2.129201412,1.680863857,1788,0.158000007,0,-0.221000001,0.014355441,-0.299071699,9.381280899,-0.013854881,0.00293084,-0.228339091
1.907163104,1788,11.57699966,2.128881454,1.680272937,1788,0.158999994,0,-0.231999993,0.478514701,0.320604861,8.658723831,-0.00479592,0.00106576,-0.219280124
1.907163104,1788,11.57699966,2.128881454,1.680272937,1788,0.152999997,0,-0.194999993,0.241649926,0.502440453,8.998469353,-0.019716561,0.00479592,-0.20569168
1.907163104,1788,11.58300018,2.129985094,1.681143761,1788,0.153999999,0,-0.194999993,0.260790497,-0.14594698,8.814240456,0.00452948,0.013588441,-0.203560174
1.907163104,1788,11.58300018,2.129985094,1.681143761,1788,0.152999997,0,-0.247999996,-0.069384634,-0.827830434,9.85979557,-0.0026644,0.00159864,-0.224875361
1.907163104,1788,11.5720005,2.12956953,1.68115449,1788,0.151999995,0,-0.238999993,0.351708293,-0.289501399,9.826299667,0,0.01438776,-0.219280124
1.907163104,1788,11.5720005,2.12956953,1.68115449,1788,0.148000002,0,-0.221000001,0.189013302,0.358886033,9.577471733,0.00053288,-0.0039966,-0.204093054
1.907163104,1788,11.56900024,2.129017353,1.680718541,1788,0.150999993,0,-0.215000004,0.30624941,0.210546464,9.110919952,-0.00373016,0.00239796,-0.209421843
1.907163104,1788,11.56900024,2.129017353,1.680718541,1788,0.152999997,0,-0.256000012,0.392382056,0.167480141,9.409991264,-0.010124721,-0.00479592,-0.216882169
1.907163104,1788,11.57699966,2.128881454,1.680272937,1788,0.153999999,0,-0.233999997,0.107665807,-0.528758764,8.972150803,-0.01438776,0.00852608,-0.230204165
1.907163104,1788,11.57699966,2.128881454,1.680272937,1788,0.149000004,0,-0.174999997,0.167480141,-0.380419195,9.591827393,0.00079932,-0.01891724,-0.206757441
1.907163104,1788,11.57900047,2.129249573,1.680563331,1788,0.147,0,-0.238999993,0.406737506,0.46415925,9.345392227,0.015719961,-0.01039116,-0.204892367
1.907163104,1788,11.57900047,2.129249573,1.680563331,1788,0.151999995,0,-0.25,0.528758764,0.358886033,9.814336777,-0.01625284,-0.054353762,-0.214750648
